"","X","Y"
"377","ENSG00000162522","KIAA1522"
"378","ENSG00000134684","YARS"
"379","ENSG00000116497","S100PBP"
"380","ENSG00000121900","TMEM54"
"381","ENSG00000116514","RNF19B"
"382","ENSG00000004455","AK2"
"383","ENSG00000142920","AZIN2"
"384","ENSG00000278997",""
"385","ENSG00000116525","TRIM62"
"386","ENSG00000279179",""
"387","ENSG00000160094","ZNF362"
"388","ENSG00000225313",""
"389","ENSG00000134686","PHC2"
"390",NA,NA
"391","ENSG00000222112","RN7SKP16"
"392","ENSG00000121903","ZSCAN20"
"393","ENSG00000163866","SMIM12"
"394","ENSG00000188910","GJB3"
"395","ENSG00000230163",""
"396","ENSG00000241014",""
"397","ENSG00000163867","ZMYM6"
"398","ENSG00000197056","ZMYM1"
"399","ENSG00000116560","SFPQ"
"400","ENSG00000146463","ZMYM4"
"401","ENSG00000142687","KIAA0319L"
"402","ENSG00000020129","NCDN"
"403","ENSG00000116819","TFAP2E"
"404","ENSG00000126067","PSMB2"
"405","ENSG00000142686","C1orf216"
"406","ENSG00000092853","CLSPN"
"407","ENSG00000134698","AGO4"
"408","ENSG00000092847","AGO1"
"409","ENSG00000126070","AGO3"
"410","ENSG00000116863","ADPRHL2"
"411","ENSG00000054116","TRAPPC3"
"412","ENSG00000116871","MAP7D1"
"413","ENSG00000054118","THRAP3"
"414","ENSG00000214193","SH3D21"
"415","ENSG00000142694","EVA1B"
"416",NA,NA
"417","ENSG00000196182","STK40"
"418","ENSG00000181817","LSM10"
"419","ENSG00000116885","OSCP1"
"420","ENSG00000116898","MRPS15"
"421","ENSG00000233621","LINC01137"
"422","ENSG00000163874","ZC3H12A"
"423","ENSG00000163875","MEAF6"
"424","ENSG00000163877","SNIP1"
"425","ENSG00000163879","DNALI1"
"426","ENSG00000134697","GNL2"
"427","ENSG00000116922","C1orf109"
"428","ENSG00000134690","CDCA8"
"429","ENSG00000183317","EPHA10"
"430","ENSG00000185090","MANEAL"
"431","ENSG00000196449","YRDC"
"432","ENSG00000197982","C1orf122"
"433","ENSG00000188786","MTF1"
"434","ENSG00000204084","INPP5B"
"435","ENSG00000183431","SF3A3"
"436","ENSG00000183386","FHL3"
"437","ENSG00000183520","UTP11"
"438","ENSG00000116954","RRAGC"
"439","ENSG00000214114","MYCBP"
"440","ENSG00000158315","RHBDL2"
"441","ENSG00000174574","AKIRIN1"
"442","ENSG00000168653","NDUFS5"
