"","ensembl_gene_id","hgnc_symbol","chromosome_name","D8R1_1","D8R2_1","D8R3_1","M8R1_1","M8R2_1","M83_18","D24R3_","D24R2_","D24R1_","M24R3_","M24R2_","M24R1_"
"40060","ENSG00000127125","PPCS","1",1259.6317867181,1372.16994002173,1165.2090888645,1213.3184710724,1207.27454092073,1311.85521930077,1332.20162070328,1296.7836840301,1336.47795017674,916.95384531259,1266.81303498487,1206.26373563301
"39799","ENSG00000186409","CCDC30","1",28.8123376846791,46.1545742495701,49.6297652364226,43.6879213502395,48.5493054819144,55.4893518388446,53.0787403187157,48.0829564258043,46.0848947962646,48.404177995581,57.6554987252339,46.0055290357995
"43570","ENSG00000171960","PPIH","1",1959.41208857322,2281.82878409307,2095.66188533622,1857.29912841828,2014.02155590655,2371.5748838954,2078.1249420276,1929.64785784652,1927.20995662826,1697.23021057379,2070.27949108268,1913.13100843051
"44051","ENSG00000065978","YBX1","1",10404.6756093173,12071.7396462012,10898.1165964724,10185.6860002009,11315.3782202896,12793.6366004202,10386.5677514689,11828.4817689877,10987.7780502113,10500.4630298036,11044.1874781239,10468.3750180559
"44955","ENSG00000117385","P3H1","1",4916.35721189433,4617.39564312805,4726.48296440593,4828.58603122033,4421.4543556136,4364.43696123273,4248.03804243598,4385.63498208558,4561.18748101963,4936.51433755026,4175.55236642136,4584.20813752419
"45266","ENSG00000164008","C1orf50","1",317.004296135652,322.975170477451,349.69988434022,325.505672790019,338.782147038103,360.912221607601,338.494687577604,296.107474299089,339.620391414189,384.113502018492,313.222060254757,311.332963506652
"45264","ENSG00000228452","","1",48.8017935132723,41.1032709522898,50.6739643530297,44.9467596442745,45.6916262925315,47.5711877936632,46.7312410797538,37.0593797857102,43.842431408564,25.0570624058384,47.8688368550942,39.4424908911532
"45224","ENSG00000177868","SVBP","1",535.719646257686,589.840937821585,607.691208694719,575.08004102431,585.849496515179,637.613707637602,541.206903005777,597.043196603806,600.923178750362,348.763896808744,573.179865856368,508.052020998881
"45149","ENSG00000164010","ERMAP","1",204.589086092597,250.893312640281,218.033373756067,239.565712871168,231.233269988548,207.490984234853,262.992945155933,238.745670058421,275.655146348822,227.162362514794,237.010652013814,284.223900295389
"46135","ENSG00000164011","ZNF691","1",349.313466341978,358.655936502511,385.270598805482,346.806410518327,343.23209763932,401.586503691626,332.479721969389,309.761110759762,309.358990933353,300.436801476125,346.488291512368,334.139828964288
"47869","ENSG00000117394","SLC2A1","1",26956.4828721876,24085.1493718637,25230.0587921349,26474.4959501422,25046.9252847851,23733.0138765425,25473.3224945247,27607.1924828556,24915.5173893585,25093.2561885098,26530.7522759712,25226.7849252801
"47861","ENSG00000227533","SLC2A1-AS1","1",21.0687030917169,24.7579637510121,22.7107007354355,18.5257203546548,12.6647723546205,23.1871983521893,27.703423559296,25.5871302498359,22.2296239879367,30.7396227864591,16.374174571096,28.3784809867252
"48740","ENSG00000186973","FAM183A","1",18.297259151702,12.2897925061178,14.3616686895878,15.0490604044317,8.68593921253066,13.6264557411781,21.6955964044743,7.43402279648328,11.5390807166931,16.5175100751988,18.651447814809,16.1363087716837
"49209","ENSG00000117395","EBNA1BP2","1",7413.59393260267,9084.58529774651,7946.3294883982,7153.68145512319,7947.31439769207,9131.50630934657,6299.73972204859,6391.17461389861,5761.06147870201,5515.4823651089,6135.16142650776,5585.40148567393
"49228","ENSG00000243710","CFAP57","1",26.1048367933868,15.7256355524977,23.1020508024105,19.2481846227446,26.4963466972608,21.3615089888126,23.3928429064647,21.179665245034,25.8044485026384,34.7963377898314,23.4742582837129,25.7342833592518
"51988","ENSG00000234694","","1",30.5946778708133,20.0801970012487,28.7789654593901,24.5766921153289,20.1323869514308,19.7420905036144,29.0978464924891,24.3434742290347,32.1348614546866,47.49657957008,18.8676390074404,28.7341306957555
"52375","ENSG00000117399","CDC20","1",13037.4690931127,13735.7807782626,14096.1215767918,13281.4508382679,13134.9778172353,13276.203524035,10592.130541641,10741.4581642725,10018.0256737366,12272.3012388583,10174.300277438,10154.2969388549
"52549","ENSG00000066322","ELOVL1","1",7918.54331257083,7981.22101352825,7636.40056700581,7895.35635414276,7385.71996561698,6919.32889990055,6815.19549646795,6765.82362602257,7042.78850574274,7549.47925925282,6677.49690253829,6594.83889123428
"52879","ENSG00000159479","MED8","1",1883.27347031526,1889.95968677342,1820.93427298463,1714.4387851364,1586.61828355253,1861.31288858984,1673.43101818421,1643.25922202967,1650.43494917687,1858.27923198838,1696.47655265078,1698.89856120209
"52877","ENSG00000229431","","1",22.030817121737,17.6725515390436,39.583534120114,29.1682513969388,20.6816410915137,37.8015165376923,14.1230170482893,10.6921429837152,22.5647569666541,31.4293285722661,24.9305488993331,21.0459503475178
"54069","ENSG00000198198","SZT2","1",1657.96812344356,1466.78477576831,1961.50282008055,2019.1266903204,1681.0668600732,1619.97821643581,1714.89026130674,1554.43732881928,1554.71034239676,2077.16941062838,1713.46578528963,1756.04807142317
"54146","ENSG00000178922","HYI","1",738.745285301168,557.908528244544,817.339265074131,931.702461433345,778.842798321858,712.559726255254,626.451683283628,627.160868987005,694.141128418137,986.685767182773,786.90823175296,875.942199146805
"33745","ENSG00000142949","PTPRF","1",15897.4211655013,11320.7997048993,13065.0089927936,16660.4138050368,13843.9273956254,12994.7803946385,13820.0863131448,13911.3107710136,13884.6428090169,16725.4079658707,13435.0973280099,13935.2313591516
"34988","ENSG00000066135","KDM4A","1",1931.83196135811,2017.7976089783,1987.9582971892,1825.94495810869,1911.94630836641,1996.95619711103,1899.85822948631,1979.96122915624,1888.50391268274,1906.43271775332,1974.27494210302,1976.08618956713
"35048","ENSG00000236200","KDM4A-AS1","1",72.0550149228924,47.4083343102651,74.6118386659686,54.8319215783817,67.85192791126,63.3343799807725,56.2225706680505,64.7440188850919,73.2181034563809,86.0335335256751,83.0058071528393,75.1048586203323
"35087","ENSG00000126091","ST3GAL3","1",718.596157284279,749.469324790375,754.183524007651,786.354064750287,687.751790290584,650.355199275703,797.630548161678,792.734639483216,766.426469829722,814.311397055739,781.388960910958,704.87658068774
"52426","ENSG00000117407","ARTN","1",255.671352960751,105.67081545429,141.026361332238,273.298651061946,143.245462560685,116.862246452204,224.142961233879,302.603770048984,410.972743304501,204.845185963816,346.505040959175,450.71852621486
"52642","ENSG00000117408","IPO13","1",1981.05991919305,1872.15422673982,2143.93272891889,2147.2648245334,2013.15252039514,1721.46387843064,1886.02154414322,1896.52476100609,1895.66295305722,2187.53288108114,2022.09396713441,1939.48786070693
"52745","ENSG00000132768","DPH2","1",2086.70105228476,1865.79550050062,1930.53708276332,2112.52008216951,1982.36052933335,1769.81202744766,1594.32641995367,1508.65189130465,1410.42862159781,1914.86961335599,1464.95353926053,1444.03333019958
"52693","ENSG00000117410","ATP6V0B","1",5635.34521079899,5341.77675819048,5350.42355368165,5891.16537168173,5355.717447208,5346.61655027527,4799.072601994,5138.5932753249,4942.366508161,5445.00498936556,4953.42547055217,4960.76064581331
"53692","ENSG00000117411","B4GALT2","1",2280.20948526829,2015.47096438122,1831.70577772807,2487.6512732279,2277.87611785423,1759.57731167337,2117.26456763379,2310.92448849602,2227.98188810265,2002.89980120538,2214.61706494947,2177.90917198758
"53965","ENSG00000159214","CCDC24","1",193.725135035168,150.269431898647,180.945158388149,304.271954316389,229.277791727023,177.377701183491,217.540345375441,257.97464610335,304.796732888653,267.35979997367,304.733536988955,280.807385515092
"53905","ENSG00000196517","SLC6A9","1",775.689920139069,694.563405594409,604.398891770352,960.165604289563,818.884775601716,612.703527278775,1021.45580672976,1204.4351270605,1222.28715810747,1019.84289030006,1224.33782795899,1259.1380754963
"53890","ENSG00000230615","","1",86.944725042503,83.3801784868241,84.3952259568416,80.6260969191822,90.0691652763924,79.8379904183514,88.7680551774095,104.005872460797,116.44311281038,101.422899548405,101.643275015994,111.65076202281
"54584","ENSG00000171872","KLF17","1",12.5591976707113,21.9231857662999,17.1774477570086,18.2537518086632,24.5188528488765,24.6017414163821,28.341993084345,27.5814705571421,41.7669616002058,19.9533958312134,30.8197039759791,33.1329688640264
"54582","ENSG00000233514","","1",14.6615566170691,20.0985349699678,11.4364691731416,11.7174660347709,21.5037152355729,14.6028745982697,12.5843890263386,11.6254056401757,5.74562012703365,10.0815938055317,11.3563676347379,12.4055366699766
"55078","ENSG00000178028","DMAP1","1",2063.67167611652,1787.91636357881,2048.51836632756,2049.4511400679,1913.00584568888,1735.83085178722,1977.13228307398,2011.761294837,1994.71805600405,2557.16761624156,2171.65089164857,2252.69069876368
"55312","ENSG00000117419","ERI3","1",2447.50094099689,2454.56774810376,2280.5089302964,2385.27466746231,2336.58003987023,2297.27829840432,2649.97375495782,2609.38710508185,2333.74302627228,2292.2134304816,2577.47756562247,2295.89362489232
"55705","ENSG00000187147","RNF220","1",2687.45112322162,2646.78227325842,2587.18132083805,2699.39435545877,2835.24689039601,2527.70365701399,2623.10659209765,2731.55465327353,2443.84413075591,3057.77523729813,2656.48187700608,2521.91001779134
"55694","ENSG00000126106","TMEM53","1",264.060744113192,189.538717513837,239.609130270149,236.285422766195,197.50530304987,186.95931242785,262.56258440388,299.741484082844,302.135266285285,290.541633874784,310.74339063639,286.522434077199
"56426","ENSG00000142945","KIF2C","1",9647.81749446879,10927.8470632614,11581.1703790897,9294.08087475041,10114.2011080329,11122.7988710392,9141.26784539905,8866.8553660263,9064.15937601296,6616.68012234967,9063.1341286872,8992.6942763307
"56449","ENSG00000142937","RPS8","1",18027.0842700077,19304.7303213124,18146.1032783456,16361.5184060733,18401.1559541377,20422.4701237469,18765.0020144863,18970.1455603246,17146.9550184296,22140.8257841093,18594.619352613,16872.5955237796
"63874","ENSG00000200913","SNORD46","1",9.99654431998098,17.428884569614,10.8576702616842,13.8127369978384,15.0661249432996,13.0921694014841,12.9150226669443,15.8442406175147,10.5728624562787,21.5452036485957,15.1756737316661,9.8199388362331
"56536","ENSG00000173846","PLK3","1",842.775447441036,659.467713887233,777.042177290204,957.29457577179,796.395071903738,682.021902090826,738.92147876835,679.394716286177,672.699164761807,1101.25266592186,746.158548707041,779.107628649397
"56539","ENSG00000222009","BTBD19","1",78.0632695578166,43.1423273796864,61.8627292037103,86.1250619488728,63.8923614211454,65.8826322007944,89.0271554766108,64.8177736927824,78.8438575727625,183.043979417435,80.885511028195,127.983267600966
"56541","ENSG00000117425","PTCH2","1",47.2345125148606,26.9060152456003,34.8814591749509,58.6811483120718,41.9090337510252,37.7207018350868,50.3294932623139,51.8061730945756,61.6573762448358,62.6227718018389,64.1039009708031,58.0781003295186
"56569","ENSG00000070785","EIF2B3","1",2487.29329677165,2935.6200909595,2586.74665133329,2469.30847455428,2624.90461949667,2818.65566071327,2428.85005433335,2420.47724609082,2425.80924187451,2505.71416739762,2365.25689563011,2307.95689948768
